#{"t_start": 1618298550.4760463, "env_id": null}
r,l,t,is_success,time
40000,1,8.425877,True,102
3247.391073,1,36.310012,False,500
40000,1,43.580232,True,102
40000,1,50.368432,True,102
40000,1,71.082981,True,353
3247.42223,1,99.904944,False,500
3262.058447,1,129.26564,False,500
40000,1,141.35796,True,196
3233.921242,1,170.249836,False,500
